"","tmin","prcp","swe","enso","nao","total_exp","rel_var","mean_arr_true","nn_count","cell"
"var_exp_cm.101",0.166538105353472,0.00610751006170403,0.0755377292835666,0.0112787559732662,0.0132811630016683,0.325754531370048,12.3526884911395,109.980863216126,43,503
"var_exp_cm.102",0.190793346143258,0.00345367720814529,0.107443776288043,0.00793224031038598,0.0126565897746304,0.362615919063359,13.3783151859405,107.087436754178,35,504
"var_exp_cm.103",0.118856184711384,0.00583759985297516,0.10149970140842,0.00686131604392939,0.0117821768510677,0.302146356169767,15.0296052945638,110.519892856005,79,505
"var_exp_cm.104",0.0390780554444799,0.0112440938734946,0.0254166257529457,0.0143555698522304,0.0236522757911995,0.12441275997883,10.2571007627092,109.199291447604,39,527
"var_exp_cm.105",0.0487270778692341,0.00666576283482492,0.0328832624648554,0.0113878089435077,0.0190041121508468,0.158763007773636,12.2418050816074,107.460124154397,30,528
"var_exp_cm.106",0.0884199270178351,0.00995395426527023,0.0199392531684446,0.0164973575361732,0.0228082074340418,0.181008922858652,8.7920570032177,108.208557852409,57,529
"var_exp_cm.107",0.141006666269436,0.00494760833767224,0.0450944230559417,0.0107817252871839,0.0137303502920461,0.260949390576168,13.6929687723528,106.30409144841,66,530
"var_exp_cm.108",0.177251433199373,0.00631824143475449,0.051932146936185,0.00920438964914666,0.0165770550320903,0.325646977730456,10.2097939488732,113.238367983401,57,531
"var_exp_cm.109",0.171948405112844,0.00723939617154999,0.0978290037283706,0.011709212891698,0.016128573891863,0.340521013629292,11.5275002145235,109.374060459039,48,532
"var_exp_cm.110",0.1740494732417,0.00457870652768763,0.0891387451445755,0.00995161371829419,0.0109899750931289,0.365558400453967,16.9056981252515,103.461888208043,78,533
"var_exp_cm.111",0.0596568611389748,0.0131943149246744,0.0134349349083725,0.0178901369703896,0.0329148936201459,0.148096114792682,8.39001704829609,105.910777009614,30,555
"var_exp_cm.112",0.0425504581273589,0.00779139046197751,0.00898108453046572,0.0153190026122311,0.0203530740184041,0.0983764231709543,10.7409023766336,112.928496131055,47,557
"var_exp_cm.113",0.13114319112349,0.00891367969984756,0.0379358880672468,0.0183530676858826,0.0232839009780505,0.251457728810954,8.41066551011465,113.812207617452,64,558
"var_exp_cm.114",0.158474679963501,0.0106925139772149,0.0538943648252566,0.0162137624593741,0.0176649237019838,0.314390207187622,8.93826280973352,113.697262545335,44,559
"var_exp_cm.115",0.185120671665709,0.00836038243763111,0.0645663272592946,0.014248364064491,0.0139914975927486,0.328114315977622,11.2277864957254,108.730729397511,56,560
"var_exp_cm.116",0.225800351585341,0.00656413777157174,0.0870576397816267,0.0130847154664238,0.0129727843274138,0.412208773622173,12.7424990492808,108.47409125545,91,561
"var_exp_cm.117",0.0557401077467569,0.0111970017422671,0.0252315811610763,0.0163385707629498,0.0273723531008317,0.134933694148196,9.22155826943102,102.392494948024,27,583
"var_exp_cm.118",0.0648467947614268,0.0115971503920357,0.00661907543969203,0.0169505905465778,0.0224669070087197,0.123718135867261,8.61399365639466,108.278966495511,43,584
"var_exp_cm.119",0.105027197579704,0.00930992613163207,0.0241651842321798,0.0163120349634003,0.0231300390714247,0.18602373285903,9.34550743164755,113.755816932557,54,585
"var_exp_cm.120",0.124457420261866,0.0128393104886093,0.030695157195784,0.0170010910416842,0.0225369515169452,0.250383163705144,8.30063824878509,108.366976104834,64,586
"var_exp_cm.121",0.166020804257888,0.00944193663453839,0.068693217265055,0.0125945680729464,0.0200851523087233,0.328490553601456,9.08963622816925,109.524905408084,44,587
"var_exp_cm.122",0.139295544630002,0.00977964648440356,0.0305819338467999,0.0236097901438508,0.023646349823137,0.244256855742977,7.97245579711976,110.303231784606,80,588
"var_exp_cm.123",0.193427712849616,0.00898968639813211,0.0464121775559623,0.0188300180774451,0.0189817159143523,0.320918635856023,9.35313588893074,109.910734006768,76,589
"var_exp_cm.124",0.0664903109314127,0.0111669957896553,0,0.0245451816548488,0.0304275751915149,0.145206717891713,8.52232904208046,99.5750532496917,22,610
"var_exp_cm.125",0.0701042064271938,0.00877443686128223,0.0371175061441486,0.0172366884782957,0.0260615175491788,0.175255791597726,8.84553073089829,109.187826951605,45,612
"var_exp_cm.126",0.0923066247440346,0.0147336889895981,0.0111665051573497,0.0156205536417741,0.0259470609627197,0.182536392577259,7.84779817166609,108.016439048107,25,613
"var_exp_cm.127",0.0956401453693279,0.0127780003177065,0.00543889375393876,0.0185989392301095,0.018723328149401,0.174145389896668,8.83284845725241,109.026121231731,42,614
"var_exp_cm.128",0.108582986387597,0.012149159000097,0.0149644311354233,0.0257645006620691,0.0248199329796239,0.205264132976317,7.87325422025262,107.660128416895,63,615
"var_exp_cm.129",0.0322266803446519,0.0079359851475718,0,0.0178097407819283,0.0196521848130376,0.103487961621403,8.66075513102578,103.838400922769,24,640
"var_exp_cm.130",0.047192061241847,0.0109240833167828,0,0.0240831142495915,0.0215157089299407,0.10854746044528,7.83801626291809,104.676544667756,29,641
"var_exp_cm.131",0.0900695843651317,0.0128221794893133,0,0.0304633467538092,0.033694443477616,0.207202111690801,7.02582303227629,107.663394202129,52,642
"var_exp_cm.132",0.0414818931140012,0.00912496794543314,0,0.0268198791585507,0.0289313171888711,0.1119805852237,8.16890127610005,99.5872986200391,34,668
"var_exp_cm.133",0.0557000402120364,0.0115075815807794,0,0.0405826531102129,0.0317316416577936,0.140229426053623,6.79185378770234,103.068401460137,35,669
"var_exp_cm.134",0.142724312941972,0.00494129513865102,0.0443938487509583,0.00788755685781338,0.0101570889728259,0.277199739897038,17.8921124701942,110.762511027645,58,451
"var_exp_cm.135",0.136274858257605,0.00969880805997375,0.0290675286516817,0.020647132271378,0.0160155186357487,0.20727663453743,9.29253755639375,140.035168412833,23,769
"var_exp_cm.136",0.284803120954533,0.00626493999477121,0.0336285640500553,0.00520882350443833,0.00934425073691851,0.373443160071089,16.937050174254,116.195378203173,37,337
"var_exp_cm.137",0.170788025608775,0.00899488762193143,0.029472484204709,0.0104890170079743,0.0160080451726162,0.262823747159052,10.88007874182,112.778579786173,69,364
"var_exp_cm.138",0.192905794458294,0.00299309626869964,0.150727661882727,0.0042082149038745,0.00947195295221195,0.428636977687775,19.6100890364694,114.215382989294,30,394
"var_exp_cm.139",0.166390117450877,0.012514684961407,0.129576460611963,0.00606999078265979,0.0133625586619285,0.233961440182919,12.1008805563135,126.17301887589,28,285
"var_exp_cm.140",0.156807557902572,0.00514612491416907,0.05038286842594,0.00490958030825374,0.00579796735370305,0.261198874985694,27.8649418546504,110.925951566554,17,480
"var_exp_cm.141",0.232270763807657,0.00996565460135268,0.0244551251368468,0.0112549204501983,0.0106362107316037,0.24252234930047,18.7295073335965,123.28756377461,25,486
"var_exp_cm.142",0.126130051672865,0.0109260011617074,0.0225576565681526,0.0163903767617407,0.0155270535801396,0.250615739229197,12.042242584853,117.64179809763,18,225
"var_exp_cm.143",0.143019446041963,0.0136806065313361,0.0256918499905051,0.0126498148095941,0.011664020554866,0.249962265072742,14.0139209250801,120.923347960987,34,226
"var_exp_cm.144",0.114814059832051,0.021528625265675,0.0170116386942541,0.0204677998821884,0.019642198898279,0.228687291148801,10.565455010406,116.349797738483,18,253
